"education_id","title","description","date_range","candidate_id"
12,"Universidad Nacional del Sur","Licenciado (equivalent to Masters), Computer Science","1999 – 2005",2112
26,"Universidad Abierta Interamericana",NULL,"",2121
60,"University of Buenos Aires","MBA, Industrial managment","2003 – 2005",2138
61,"ORT","PMI","2003 – 2003",2138
62,"University of Buenos Aires","BE, Electrical, Electronic and Communications Engineering Technology/Technician","1993 – 2002",2138
169,"Facultad de Ciencias Exactas y Naturales - University of Buenos Aires","Master's degree, Computer Science","1994 – 2004",2189
246,"Escuela Nacional de Bellas Artes ""Prilidiano Pueyrredón""","Art Professor, Visual Arts","1989 – 1993",2224
263,"Agiles 2008","Certified ScrumMaster","2008 – 2008",2232
264,"Universidad de San Andrés","Management Skills","2007",2232
265,"Universidad Tecnológica Nacional","Engineer’s Degree, Information Systems","2007",2232
266,"IEEE","SCRUM","2007",2232
267,"IT Mentor","Design Patterns and Object Oriented Design","2006",2232
286,"Universidad Católica Argentina","Licenciatura en Sistemas","2008 – 2014",2244
332,"Facultad de Ingeniería (UdelaR)","Engineer's degree, Computación","2001 – 2009",2267
367,"Universidad Tecnológica Nacional","Ingeniero en Sistemas de Información, Informatic - Systems","2002 – 2011",2284
368,"University of Buenos Aires","Master's degree, Data Mining and Knowledge Discovery, Data Processing and Data Processing Technology/Technician","2016 – 2019",2284
369,"Universidad Tecnológica Nacional","Engineer's degree, Computer Programming, Specific Applications","2002 – 2011",2284
370,"Adecco Specialties S.A.","Computer Programming/Programmer, General","",2284
416,"Universidad de Palermo","Systems Analyst","2005 – 2009",2315
477,"Sun Microsystems","Solaris Administration","2005 – 2005",2340
478,"Universidad Tecnológica Nacional","Level II C level course","2001 – 2001",2340
479,"BS Training Center","Citrix Metaframe Installation and maintenance, Metaframe 1.8 from Citrix.","2000 – 2000",2340
480,"Nice Systems","Nice Systems Implementations and support for call centers.","2000 – 2000",2340
481,"Odysoft","Calabrio call center management.","2000 – 2000",2340
482,"Universidad Tecnológica Nacional","C development under Unix environments, Software Development","2000 – 2000",2340
483,"Universidad Nacional de Lomas de Zamora","Database programming using Visual Fox Pro., Software Development","1999 – 2000",2340
484,"EET N1 M.M. de Guemes","Electronics And Telecommunications Technician, Electronics and Telecommunications","1990 – 1995",2340
551,"Instituto de Tecnología ORT","System Analyst, Computers","2009 – 2013",2364
552,"Universidad de Buenos Aires","Graphic Design","2004 – 2009",2364
595,"Universidad Argentina de la Empresa","Licenciado, Information Technology","2000 – 2005",2390
596,"UADE","Computer Software Engineering","1999 – 2004",2390
619,"Universidad de Buenos Aires","Licenciatura en Ciencias de la Computación, Ciencias de la computación","",2405
620,"Universidad de Buenos Aires / UBA","Analista universitario en Ciencias de la Computación, Ciencias de la Computación","",2405
621,"Leeds School of English",NULL,"1997 – 2002",2405
622,"Lenguas Vivas ""JFK"" (Lengüitas)","Bachiller biningüe en Cs y Letras","",2405
820,"UADE","Analista en Sistemas (Graduado)","2015",2505
764,"E.T. Nº 1 Ing. Otto Krause","Secondary, Computer Programming","1994 – 1996",2480
821,"Universidad de Buenos Aires / UBA",NULL,"",2505
955,"Universidad de Palermo","Computer Science degree","2017 – 2022",2564
956,"Flight Center","Simulator Instructor, Aeronautics/Aviation/Aerospace Science and Technology, General","2020 – 2020",2564
957,"Flight Center","Commercial Pilot with Instrument and Night Rating","2018 – 2018",2564
958,"AYRSA","Restricted Radio Operator Certificate","2017 – 2017",2564
959,"PSA Servicios Aéreos","Private Pilot","2015 – 2017",2564
960,"Escuela Tecnica ORT","Bachelor's degree with IT specialization, Computer Science","2011 – 2016",2564
961,"UNNE",NULL,"",2565
987,"Universidad Nacional de Rosario","Electronic Engineering","2020 – 2024",2579
988,"Duoc UC","Biomedical Informatics, Medical Informatics","2010 – 2013",2579
1023,"National Technological University","Master, Information Systems Engineering","2018 – 2021",2597
1024,"National Technological University","Engineer, Information Systems","2009 – 2016",2597
1046,"Universidad Nacional de La Matanza","Computer Engineering, Software","2009 – 2020",2607
1099,"Colegio Universitario IES","Técnico Superior en Ciencia de Datos e Inteligencia Artificial, Computer Software Engineering","2019 – 2021",2633
1100,"Universidad Empresarial 'Siglo 21'","Software Engineering (Incomplete), Software","2011 – 2014",2633
1101,"Universidad Tecnológica Nacional","Tecnico Superior en Programacion, Win32, Web","2007 – 2009",2633
1144,"UTN Regional Buenos Aires","Ingeniero Electrónico","2008 – 2014",2649
1145,"Universidad Mariana","Licenciatura, ADMINISTRACIÓN DE NEGOCIOS","2004 – 2009",2650
1146,"Universidad de Belgrano","Maestría en Política Económica Internacional, Economía","2013",2650
1147,"Universidad Tecnológica Nacional","Ingenieria en Sistemas de Informacion, Tecnología de la información","2008 – 2020",2651
1148,"IGG","Chef , Chef","2002 – 2004",2652
1149,"Universidad Centro de Altos Estudios en Ciencias Exactas","Bachelor’s Degree in Computer Systems, Computer Technology/Computer Systems Technology","2009 – 2013",2653
1150,"UAI - Universidad Abierta Interamericana","Ingenieria en Sistemas","2016 – 2022",2654
1151,"Plan 111 mil","Analista del conocimiento dimensión programador","2017 – 2017",2654
1152,"IFTS N 1","Tecnicatura en Seguros, tecnico superior en seguros","2019 – 2022",2655
1153,"La Fundación de Altos Estudios en Ciencias Comerciales","Licenciatura en Comercialización, General Sales, Merchandising and Related Marketing Operations","1980 – 1988",2656
1154,"fundacion de altos estudios en comercializacion",NULL,"",2656
1155,"Universidad de Buenos Aires","Licenciatura en Relaciones del Trabajo.","2010 – 2019",2657
1156,"IFTS N°4","Técnico Superior en Análisis de Sistemas, Tecnicatura Superior en Análisis de Sistemas","2012 – 2014",2658
1157,"Universidad de Buenos Aires","Contador Público Nacional","2009 – 2016",2659
1158,"Universidad de Buenos Aires","Lic. Relaciones del Trabajo","2011 – 2018",2660
1164,"Pontificia Universidad Católica Argentina 'Santa María de los Buenos Aires'​","Licenciatura, Administracion de Empresas","2010 – 2013",2665
1165,"Universidad Nacional de Tres de Febrero","Licenciatura en Musica, Gestión musical","2012 – 2018",2666
1166,"Universidad Tecnológica Nacional","Abandonado, Ciencia e ingeniería textil","2008 – 2014",2667
1167,"Hikvision","HCSA, CCTV","2019 – 2019",2668
1168,"Educacion IT","Seguridad Informatica y Ethical Hacking","2016 – 2018",2668
1169,"Lexkmark","Certificacion , Reparador de impresoras","2016 – 2016",2668
1170,"Centro de Formación Profesional","Reparador de PC y Redes.","2005 – 2006",2668
1171,"Centro de Formación Profesional","Diseñador Grafico","2005 – 2006",2668
1179,"Universidad Tecnológica Nacional","Ingeniería en Sistemas de Información","2012",2673
1180,"ORT Argentina","Bachillerato Técnico con orientación en Informática y Medios de Comunicación Digitales","2007 – 2011",2673
1181,"Universidad Nacional del Sur","Information Software Engineering, Software Engineering","2012 – 2018",2674
1182,"Universidad de Buenos Aires","Ciencias de la computación","2019 – 2024",2675
1183,"Universidad Tecnológica Nacional","Ingeniería de sistemas","2016 – 2019",2675
1190,"Universidad Católica de Salta","Ingenieria en Informática, Desarrollo de Software, Gestion de Proyectos","2009 – 2012",2678
1191,"Universidad Tecnológica Nacional","Ingenieria, Sistemas","1999 – 2010",2678
1195,"Universidad Nacional del Centro de la Provincia de Buenos Aires","System Engineer, Ingeniería de software","2009 – 2017",2681
1196,"Universidad Tecnológica Nacional","Software Developer","2014 – 2015",2682
1197,"Escuela Superior de Artes Aplicadas Lino Enea Spilimbergo","Graphic Designer","2008 – 2013",2682
1198,"University of Buenos Aires",NULL,"",2683
1202,"Universidad Tecnológica del Centro (UNITEC)","Master of Technology (M.Tech.), Información","1999 – 2004",2685
1207,"University of Helsinki","Object-Oriented Programming with Java, part I, Computer Science","2019 – 2019",2689
1208,"University of Helsinki","Object-Oriented Programming with Java, part II, Computer Science","2019 – 2019",2689
1212,"Argentine National Technological University, Buenos Aires Regional Faculty","Engineer's degree, Information Systems Engineering","2007 – 2016",2693
1213,"San Martín National University - Industrial Quality Institute","Diploma in Quality and Security of Information Systems, Ingeniería informática","2015 – 2015",2693
1214,"Universidad Tecnológica Nacional","Information Systems Engineering, Information Systems Engineering","1992 – 1999",2694
1215,"EducacionIT",NULL,"",2695
1216,"Escuela Superior de Comercio Carlos Pellegrini","High School Commercial Bachelo","",2695
1217,"University of Buenos Aires","Estudiante, Computer Engineering","2017 – 2023",2696
1224,"Universidad de Buenos Aires","Licenciatura, Cs. de la Computacion","2013",2700
1225,"Secuandaria Tecnica Maria Sanches de Thompson","Tecnico en Programacion, Programación informática, general","2006 – 2012",2700
1226,"Universidad de Buenos Aires","Licenciatura, Matemáticas","2013",2700
1227,"Universidad de Buenos Aires","Engineer's degree, Electrical, Electronics and Communications Engineering","2012 – 2019",2701
1228,"Colegio San Patricio","Social Sciences","1996 – 2011",2701
1229,"University of Buenos Aires","Ingeniero en Informática, Informática, IT, Tecnología","2002 – 2009",2702
1234,"Universidad Tecnológica Nacional","Técnico Superior en Programación, Programación informática","2016 – 2019",2704
1237,"Facultad de Matemática, Astronomía, Física y Computación","Licenciatura, Ciencias de la computación","2015 – 2022",2707
1241,"Universidad Nacional del Centro de la Provincia de Buenos Aires","Software Engineer, Specialization in Computer Sciences","2002 – 2015",2709
1242,"Universidad Nacional del Centro de la Provincia de Buenos Aires","System Analyst Programmer, Software Engineering","2002 – 2010",2709
1243,"Escuela de Educación Técnica Nº 2","Computational Technician, High School","1996 – 2001",2709
1244,"St. Xavier's College","Bachiller nacional bilingüe en ciencias y letras","2000 – 2011",2710
1245,"International Baccalaureate","Diploma - English, English Language and Literature, General","2011 – 2011",2710
1249,"Universidad Nacional del Centro de la Provincia de Buenos Aires","Ingeniería de sistemas","2010 – 2016",2713
1250,"Universidad Nacional del Sur","Bachelor of Science (B.S.), Computer Science","",2714
1255,"Universidad del Valle (BO)","Industrial and Software Engineering","2004 – 2010",2718
1256,"PROYDESA","Developing Applications for Java EE 5, Computer Programming, Specific Applications","2012 – 2012",2718
1257,"Universidad Nur","Java Intermedio, Computer Programming","2011 – 2011",2718
1262,"Instituto Universitario Aeronáutico","Computer Science Engineer","2006 – 2022",2720
1263,"Instituto Universitaio Aeronautico","Technical degree in programming","",2720
1267,"Universidad de Buenos Aires / UBA","Licenciatura en Análisis de Sistemas","2005 – 2011",2723
1268,"University of Buenos Aires","Licenciatura en Análisis de Sistemas","",2723
1269,"Ecole de Management de Lyon","MBA International Exchange Semester, Business Administration and Management, General","2014 – 2014",2724
1270,"IAE Business School","Master of Business Administration (MBA), Business Administration and Management, General","2013 – 2013",2724
1271,"Universidad Nacional de Tucumán","Computing Engineering, Computer Science","2005 – 2012",2724
1274,"CAECE","Licenciatura en Sistemas, Information Technology","2018 – 2022",2727
1275,"Escuela Tecnica ORT","High School Diploma, Information Technology","2006 – 2011",2727
1281,"Universidad Tecnológica Nacional","Tecnicatura Superior en Programacion, Programacion Informatica","2018 – 2019",2731
1282,"Universidad Nacional de Tucumán","Ingenieria en Computacion","2010 – 2017",2732
1283,"Colegio Nueva Concepcion","Bachillerato","2004 – 2009",2732
1284,"Universidad Tecnológica Nacional","Grado en Ingeniería, Ingeniería de sistemas","2010 – 2016",2733
1285,"Institucion Cervantes","Análisis de sistemas informáticos/Analista","2018 – 2020",2734
1286,"Taller de Programacion Infantil",NULL,"",2734
1287,"Taller de Programacion nivel medio y principiantes usando herramientas didacticas",NULL,"",2734
1290,"Universidad Nacional de Colombia","Graphic Designer, Graphic Design","2000 – 2005",2736
1291,"Universidad Nacional del Centro de la Provincia de Buenos Aires","TUDAI, Programación informática","2017 – 2020",2737
1292,"Coderhouse","UX/UI Designer","2020",2737
1293,"Universidad Nacional del Sur","Ing. en Sistemas de Computación, Computer Engineering","2003 – 2009",2738
1294,"Escuela Técnica Nº 2","Técnico en Informática Personal y Profesional, Technician","2000 – 2002",2738
1295,"Universidad Tecnológica Nacional","Ingeniería en sistemas de información","2014",2739
1296,"Colegio Universitario IES","Analista de Sistemas","2011 – 2015",2740
1297,"Universidad Nacional de Córdoba","Ingeniero en Computacion","2009 – 2011",2740
1298,"Universidad de Buenos Aires","Bachelor's degree, Computer Science","2014 – 2021",2741
1299,"EducacionIT","Full-Stack Web Developer","2017 – 2018",2741
1300,"Escuela de Educación Secundaria Técnica Nº 3 ""Roberto Arlt""","Técnico en Informática Personal y Profesional","2010 – 2013",2741
1301,"Universidad Nacional de Hurlingham","Bachelor's degree","2020 – 2025",2743
1302,"Universidad Nacional de Tres de Febrero","Engineer's degree, Ingeniería en computación","2017 – 2020",2743
1303,"Favaloro University","Biomedical Engineer, Bioengineering & Biomedical Engineering","2007 – 2023",2745
1304,"Islands International School","International Baccalaureate, Bachelor of Arts","1992 – 2006",2745
1311,"Universidad Nacional del Centro de la Provincia de Buenos Aires","Bachelor's degree, Computer Software Engineering","2013 – 2018",2749
1315,"Instituto Superior I189","Tec. Analista de Sistemas, Tec Analista de Sistemas","2015 – 2016",2751
1316,"Instituto Superior I189","Tec. Analista Programador, Tec Analista Programador","2012 – 2015",2751
1317,"Universidad Nacional de Luján","Licenciado en Sistemas de Información","2010 – 2012",2751
1319,"Poznan University of Technology","Master of Science (MSc), Computer Science","2014 – 2016",2753
1320,"Poznan University of Technology","Bachelor of Science (BSc), Computer Science","2010 – 2014",2753
1321,"Moscow Power Engineering Institute (Technical University)","Engineer's degree, Computer Science","2000 – 2006",2754
1324,"Information Technology Institute (ITI)","9 Month Professional Diploma of Software Architecture, System Development","2016 – 2017",2757
1325,"Faculty of Commerce","Bachelor’s Degree, Accounting","2014",2757
1327,"Ivane Javahišvilis Sakhelobis Tbilisis Sakhelmtsipo Universiteti","Master's degree, Computer Science","2009 – 2011",2759
1328,"Ivane Javahišvilis Sakhelobis Tbilisis Sakhelmtsipo Universiteti","Bachelor's degree, Computer Science","2005 – 2009",2759
1331,"Stanford University","Master of Science - MS, Electrical Engineering and Computer Science","",2761
1332,"Carnegie Mellon University","Bachelor of Science - BS, Electrical Engineering","",2761
1333,"University of California, Santa Cruz","Certificate with Honors, Embedded Systems","2016 – 2017",2761
1334,"International University of Sarajevo","Master of Arts (M.A.), International and Public Relations","2013 – 2015",2762
1335,"International University of Sarajevo","Bachelor of Arts (B.A.), International and Public Relations","2009 – 2013",2762
1338,"Business Informatics College - Sirmium","Bachelor's degree, Information Technology","2013 – 2016",2764
1339,"Karlsruhe Institute of Technology (KIT)","Doctor of Philosophy - PhD, Computer Science","2007 – 2011",2765
1340,"Yerevan State University","Master's degree, Computer Science","2004 – 2006",2765
1341,"Yerevan State University","Bachelor's degree, Applied Mathematics","1999 – 2004",2765
1347,"Warsaw University of Technology","Master’s Degree, Computer Science","2015 – 2016",2767
1348,"Faculty of Electrical Engineering and Computing, Zagreb","Master’s Degree, Computer Science","2014 – 2016",2767
1349,"Faculty of Electrical Engineering and Computing, Zagreb","Bachelor of Science (BS), Computer Science","2011 – 2014",2767
1350,"XV. gimnazija, Zagreb","High School, Mathematics and Computer Science","2007 – 2011",2767
1351,"Faculty of Transport and Communications","Master's degree, Aeronautics/Aviation/Aerospace Science and Technology, General","2012 – 2014",2768
1352,"Faculty of Transport and Communications","Bachelor of Science (BSc) Transportation and communication, Aeronautics/Aviation/Aerospace Science and Technology, General","2008 – 2012",2768
1356,"Балтийская Государственная Академия Рыбопромыслового Флота","Специалист, Автоматизированные системы обработки информации и управления","",2770
1359,"Latvijas Universitate","Doctor of Philosophy (PhD), Computer Science","2013 – 2018",2772
1360,"Latvijas Universitate","Masters, Computer Science","2011 – 2013",2772
1361,"Latvijas Universitate","Bachelor, Computer Science","2007 – 2011",2772
1362,"Riga State Gymnasium No. 1",NULL,"2004 – 2007",2772
1363,"Far Eastern State University","Specialist, Mathematics and Computer Science","2002 – 2007",2773
1364,"Saint Petersburg State Polytechnical University","Master's Degree, Computers Systems and Networks","2001 – 2004",2775
1365,"Saint Petersburg State University","Postgraduate Course, Geology","2003 – 2006",2775
1366,"Saint Petersburg State University","Master’s Degree, Geology","2001 – 2003",2775
1367,"Saint Petersburg State University","Bachelor's degree, Geology","1997 – 2001",2775
1368,"St. Petersburg Secondary School # 359","School Certificate, Chemical-Biological Class","1987 – 1997",2775
1369,"Institut Universitaire et Technologique de Blagnac","Licence Professionnelle APSIO, Informatique","2008 – 2009",2776
1370,"Institut Universitaire et Technologique Paul Sabatier","DUT, Informatique","2006 – 2008",2776
1371,"Universidade do Estado do Amazonas","Graduate, Mechatronics Engineering","2007 – 2011",2777
1372,"Fundação Nokia de Ensino","Technical High School, Eletronics","2004 – 2006",2777
1373,"University of New York Tirana","Bachelor of Science - BS, Computer Science","2010 – 2016",2778
1374,"Faculty of Electrical Engineering, Computer Science and Information Technology Osijek","Bachelor's degree in Computer Science, Information Technology","2004 – 2009",2779
1375,"Tehnička Škola Slavonski Brod","Electrotechnics","2000 – 2004",2779
1376,"Sveuèilište 'Josipa Jurja Strossmayera' u Osijeku","mag.ing.comp, Processing Computing","2008 – 2010",2780
1377,"Sveuèilište 'Josipa Jurja Strossmayera' u Osijeku","univ.bacc.ing.comp, Processing Computing","2003 – 2008",2780
1378,"Petrozavodsk State University (PetrSU) ","Master's degree, Information Systems","2010 – 2012",2781
1379,"Petrozavodsk State University (PetrSU) ","Bachelor's degree, Applied Mathematics","2006 – 2010",2781
1380,"UC Davis","Doctor of Philosophy (Ph.D.), Engineering, Applied Science (Plasma Physics)","",2782
1381,"UC Davis","Master of Science (M.S.), Engineering, Applied Science","",2782
1382,"Brigham Young University","Bachelor of Science (B.S.), Physics (major), Asian Studies (minor)","",2782
1385,"Universitat Oberta de Catalunya","Superior degree on computer sciences, Software engineering, databases, bioinformatics","2005 – 2007",2784
1386,"Universitat Autònoma de Barcelona","Bachelor in Sciences, Software engineering","1999 – 2004",2784
1387,"Sagrados Corazones",NULL,"",2784
1388,"Kazakh-British Technical University","Master, Data Science","2017 – 2019",2785
1389,"Kazakh-British Technical University","Bachelor, Information systems","2013 – 2017",2785
1390,"Irkutsk State University","High School, Radio Physics and Electronics","2003 – 2008",2786
1391,"Institut polytechnique de Grenoble","Doctor of Philosophy (PhD), Control Systems Engineering","2014 – 2017",2787
1392,"University of California, Los Angeles","Visiting Student, New Directions in Mathematical Approaches for Traffic Flow Management","2015 – 2015",2787
1393,"Università degli Studi della Calabria","Master of Science (M.S.), Systems Engineering","2011 – 2013",2787
1394,"Università degli Studi della Calabria","Bachelor of Science (B.S.), Computer Engineering","2008 – 2011",2787
1395,"Coursera","Data Science, Deep Learning, Machine Learning, Game Theory, Discrete Optimization","",2787
1396,"Faculty of Electronic Engineering, University of Nis","Master of Science (MSc), Computer Software Engineering","2007 – 2014",2788
1397,"Technical University of Wroclaw","Diploma Supplement, Computer Science","2011 – 2012",2788
1401,"High School",NULL,"1992 – 2002",2790
1402,"Universidad Politécnica de Madrid","Master's degree, Computer Science Engineering","1998 – 2003",2791
1403,"Colegio Nuestra Señora de los Ángeles","High School Diploma, E.G.B, B.U.P. y C.O.U.","1984 – 1996",2791
1404,"Free University of Tbilisi","Bachelor's degree, Mathematics and Computer Science","2014 – 2018",2792
1405,"Komarovi Campus School",NULL,"2008 – 2014",2792
1406,"Florida State University","Bachelor of Science, Management Information Systems","",2793
1407,"III. Gimnazija Split","High School, Mathematics and Computer Science","2012 – 2016",2794
1408,"Harvard Extension School","Professional Certificate, Data Science","2019 – 2020",2795
1409,"MITx on edX","Micromasters, Statistics and Data Science","2019 – 2020",2795
1410,"University of Alberta","M.Eng, Electrical and Computer Engineering","2008 – 2010",2795
1411,"Schulich School of Business - York University","I.M.B.A., Business and Administration","2005 – 2007",2795
1412,"Rutgers University","B. Sc., Applied Physics, Mathematics and Economics","2001 – 2005",2795
1413,"Kyrgyz Technical University","Engineer’s Degree, Computer Science","2006 – 2011",2796
1414,"Pervomayskaya Secondary School","High School","1995 – 2006",2796
1415,"Sarajevo University, Faculty of math and science","Computer Science","1980 – 2012",2797
1416,"The University of Manchester","Master’s Degree, Computer Science","1999 – 2000",2798
1417,"National Technical University of Athens","Engineer’s Degree, Civil Engineering","1988 – 1994",2798
1419,"Vanderbilt University","ME, Management of Technology","2003 – 2004",2800
1420,"International Open Academy","TESOL Certificate Couse, Teaching English as a Second or Foreign Language/ESL Language Instructor","2020 – 2020",2800
1421,"Transformation Academy","Certified Master Life Coach, Life Purpose Coaching, Happiness Coaching, Goal Success Coaching, and General Life Coaching","2019 – 2020",2800
1422,"University of Missouri-Kansas City","BS, Computer Science","1979 – 1985",2800
1423,"Lutheran High South","diploma, college prep","1975 – 1979",2800
1424,"Warsaw University of Technology","Electrical and Electronics Engineering","2005 – 2008",2801
1425,"West Pomeranian University of Technology in Szczecin","Master's degree (Dipl. Ing.), IT","2001 – 2006",2802
1426,"University of California, Irvine","PhD, Computer Science","2011 – 2016",2803
1427,"University of California, Irvine","Master's degree, Computer Science","2010 – 2011",2803
1428,"University of California, Irvine","Bachelor's degree, Computer and Information Sciences, General","2004 – 2009",2803
1429,"University of Zagreb/Sveuciliste u Zagrebu","Master’s Degree, Design","1995 – 2001",2804
1430,"School of Applied Arts and Design, Zagreb","Applied Arts","1994 – 1995",2804
1431,"University of Zagreb/Sveuciliste u Zagrebu","Master's degree, Computer Science","2011 – 2013",2805
1432,"University of Zagreb/Sveuciliste u Zagrebu","Bachelor of Science, Computing","2007 – 2011",2805
1433,"South Ural State University","Master's, Linguistics and Cross-cultural Communication","2003 – 2008",2806
1434,"phpclub",NULL,"",2806
1435,"phpclub",NULL,"",2806
1436,"Belarusian State University of Informatics and Radioelectronics","Bachelor's degree, Artificial Intelligence","2003 – 2008",2807
1437,"University of the Arts London","MA, Marketing & Communications","2004 – 2006",2809
1438,"London Metropolitan University","CAM Advanced Diploma, Marketing & Communications","2002 – 2003",2809
1439,"University of Southampton","BA (Hons), Graphic Design","1998 – 2001",2809
1440,"Bilkent Üniversitesi","Master of Science (MSc), Computer Science","2003 – 2006",2810
1441,"Bilkent Üniversitesi","Bachelor of Science (BSc), Computer Science","1998 – 2003",2810
1442,"Universidade Federal de São Paulo","Bachelor of Computer Science","2007 – 2011",2811
1443,"ETEC Getúlio Vargas","Mechatronics Technician, Mechatronics, Robotics, and Automation Engineering","2004 – 2006",2811
1445,"Graduate School of Management St. Petersburg State University","Master's degree, International Technology and Innovation Management","2010 – 2012",2813
1446,"Lappeenranta University of Technology","Master's degree, International Technology and Innovation Management","2010 – 2012",2813
1447,"St Petersburg Academic University","Master of Computer Applications (M.C.A.)","2007 – 2009",2813
1448,"Saint Petersburg State Polytechnical University","Bachelor of Applied Science (B.A.Sc.), Nanotechnology","2003 – 2007",2813
1449,"Polytechnic of Zagreb","Computer Programming/Programmer, General","2012 – 2015",2814
1450,"Polytechnic of Zagreb","bacc. tech. ing. inf., Computer networking","2009 – 2012",2814
1451,"Gimnazija Sisak",NULL,"2005 – 2009",2814
1452,"Sveučilište u Splitu","Master of Engineering (M.Eng.), Computer Software Engineering","2002 – 2006",2815
1453,"Treća Gimnazija u Splitu",NULL,"1998 – 2002",2815
1454,"Faculty of technical sciences","MSc, Power, Electronic and Telecommunication Engineering","2000 – 2006",2816
1455,"Grammar school, Krusevac School","Department, natural sciences and mathematics","1996 – 2000",2816
1456,"Cisco academy, Faculty of technical sciences",NULL,"",2816
1459,"Universitat de Barcelona","Licenciatura en Matemáticas, Matemática aplicada","1992 – 1998",2818
1460,"Universitat de Barcelona","Master's Degree, Mathematics","1992 – 1997",2818
1461,"University of Belgrade","Master's Degree, Software Engineering","2013 – 2014",2819
1462,"University of Belgrade","Bachelor's Degree, Information Systems and Technologies","2009 – 2013",2819
1463,"Gimnazija Paracin","High School, Mathematics, Natural sciences","2005 – 2009",2819
1464,"Faculty of Electrical Engineering and Computing","M.Sc. (Comp), Information systems and software engineering","2009 – 2011",2820
1465,"Faculty of Electrical Engineering and Computing","univ.bacc.ing.comp, Information systems and software engineering","2004 – 2009",2820
1466,"Sveučilište 'Josipa Jurja Strossmayera' u Osijeku","Master's degree, Electrical and Electronics Engineering","2005 – 2011",2821
1470,"University of Oslo (UiO)","BSc, Computer Science","2000 – 2004",2823
1471,"St. Ignatius High School (Cayman Islands)","AICE, A-levels","1998 – 2000",2823
1472,"John Gray High School (Cayman Islands)",NULL,"1995 – 1998",2823
1473,"University of Belgrade","Master of Architecture (MArch), Architecture and Urban Planning","2011 – 2014",2824
1474,"University of Belgrade","Bachelor of Architecture (BArch), Architecture and Urban Planning","2008 – 2011",2824
1475,"Startup School Online",NULL,"",2825
1477,"Voronezh State Technical University","Bachelor's degree, Computer Software Engineering","2000 – 2005",2827
1478,"Poznan University of Technology","Master of Science in Engineering, Intelligent Decision Support Systems","2009 – 2011",2828
1479,"The University of Computer Sciences and Skills in Lodz, software","Engineer's degree, Software engineering","2005 – 2009",2828
1480,"Moscow Institute of Electronics and Mathematics (Technical University)","Engineer’s Degree, IT, Engineering, SW Development","1995 – 2001",2829
1483,"Lviv Polytechnic National University","Master's degree, Applied Linguistics","2008 – 2013",2831
1484,"Université de Montréal","Bachelor's degree, Mathematics and Computer Science","1998 – 2001",2832
1485,"Faculty of Science of University of Zagreb","Physics","",2833
1486,"Vladimir Prelog Science School",NULL,"",2833
1487,"ZaGlaRa","high school level, Piano","",2833
1488,"207",NULL,"",2834
1489,"Dnipropetrovsk National University","Master of Computer Applications (MCA), Software Development | Artificial Intelligence","2001 – 2006",2835
1490,"Penn State University","Ph.D., Mathematics","2005 – 2010",2836
1491,"Saint-Petersburg State University Information Technologies, Mechanic and Optics (University ITMO)","Bachelor, Applied Mathematics and Informatics","2001 – 2005",2836
1492,"Faculdade de Ciências da Universidade do Porto","Mestrado, Engenharia de Redes e Sistemas Informáticos","2005 – 2011",2837
1495,"Harkivs'kij Deržavnij Tehnicnij Universitet Radioelectroniki","None, Intellectual Decision-making Systems","2001 – 2002",2839
1496,"Sevastopol's'kij Nacional'nij Institut Jadernoj Energii ta Promislovosti","None, Nuclear Reactor Engineering","1998 – 2001",2839
1497,"Faculty of Computer Science and Engineering - Skopje","Bachelor’s Degree, Computer Science And Engineering","2011 – 2016",2840
1498,"Economy High School ""Vasil Antevski Dren""","Economic technician, Economy","2008 – 2011",2840
1500,"Universidad de Belgrano","Ing. Informatica, Information Technology","2008 – 2012",2842
1503,"Delft University of Technology","MSc, Design for Interaction","2009 – 2012",2844
1504,"Delft University of Technology","BSc, Industrial Design Engineering","2004 – 2009",2844
1505,"University of Amsterdam","Medicine","2006 – 2007",2844
1508,"Benha University","Bachelor's Degree, Computer Engineering","2011 – June 2017",2846
1509,"Universität St. Gallen-Hochschule für Wirtschafts-, Rechts- und Sozialwissenschaften","Master, Banking & Finance","2008",2847
1510,"Universität Basel","Bachelor, Economics","2005",2847
1511,"Quantic School of Business and Technology","Master of Business Administration - Executive MBA","",2847
1512,"The University of Edinburgh","MSc, High Performance Computing","2005 – 2006",2848
1513,"Edinburgh Napier University","BSc Hons, Computing","2004 – 2005",2848
1514,"Nicolaus Copernicus University","BSc, Physics and IT","2001 – 2004",2848
1515,"North South University","Bachelor of Applied Science (B.A.Sc.), Computer Science and Engineering","2008 – 2012",2849
1516,"Maple Leaf International School","GCE Advanced Level","2007 – 2008",2849
1517,"ADROIT International","GCE Ordinary Level","2005 – 2007",2849
1518,"PMF","Engineer’s Degree, Informatics","2003 – 2009",2850
1519,"Free Code Camp","Full Stack Web Development Certification, Computer Software Engineering","2015 – 2016",2851
1520,"Bilkent University","Master of Science (M.S.), Computer Science","2006 – 2009",2852
1521,"Bilkent University","Bachelor of Science (B.S.), Computer Science","2002 – 2006",2852
1522,"Bauman Moscow State Technical University","Engineer's degree, Computer Science","2005 – 2011",2853
1523,"School of Electrical Engineering (ETF), University of Belgrade",NULL,"",2854
1524,"Mathematical Grammar School (Matematička gimnazija), Belgrade",NULL,"",2854
1525,"Stanford University","MS EE, VLSI design","2000 – 2004",2855
