"education_id","title","description","date_range","candidate_id"
10818,"Universidade Estadual do Oeste do Paraná","Bachaler Computer Science, Computer Science","2002 – 2007",7113
10910,"Universidad Abierta Interamericana","Engineer's degree, Computer Software Engineering","2019 – 2024",7156
10911,"MindHub LA","Full Stack Development Program, Computer Software Engineering","2019 – 2019",7156
10912,"Free Code Camp","Full Stack Web Development Certification, Computer Software Engineering","2017 – 2018",7156
10914,"Brother Ad School","Copywriting, Art Direction and Creative Strategy","2013 – 2013",7156
10915,"The Academic College of Tel-Aviv, Yaffo","Bachelor of Arts (B.A.), Behavioral Sciences","2010 – 2010",7156
11036,"Universidad Austral, Argentina","Ingeniería en Informática","2014 – 2019",7211
11037,"Escuela Técnica Henry Ford","Técnico en Electromecánica","2007 – 2013",7211
12130,"University of Buenos Aires","Ing., Information Technology","1999 – 2008",7670
10704,"Universidad Nacional de Córdoba","Computer engineering, Computer Engineering","2009 – 2019",7063
11142,"Universidade Federal de Minas Gerais / UFMG","Ciência da Computação","2013 – 2016",7257
11143,"Universidade Federal de Minas Gerais","Bacharel em Matemática, Matemática","2008 – 2011",7257
11144,"Centro Federal de Educação Tecnológica de Minas Gerais","Técnico em Química","2001 – 2004",7257
11153,"Universidad Nacional de La Matanza","Ingeniería, Ingeniería electrónica, robótica y mecatrónica","2015 – 2023",7264
11262,"IMPA","Extension program, Introduction to Mathematical Economics","2020",7313
11263,"FAAP - Fundação Armando Alvares Penteado","Extension program, IoT - Smart Cities","2018",7313
11264,"Instituto de Matemática e Estatística - Universidade de São Paulo (IME-USP)","Extension program, Probabilities and its applications","2017",7313
11265,"Pontifícia Universidade Católica de São Paulo","Mathematics","2012",7313
11266,"Universidade Estadual Paulista Júlio de Mesquita Filho","Computer Sciences","2002",7313
11267,"Universidad Católica del Uruguay 'Dámaso Antonio Larranaga'","Bachelor of Engineering (B.Eng.), Computer Science","2009 – 2016",7314
11283,"Faculdade de Tecnologia de São Paulo","Bachelor of Technology (B.Tech.), Systems Engineering","2006 – 2010",7323
11335,"Federal University of Ceara","BSc, Computer Science","2006 – 2010",7344
11422,"Universidad Argentina de la Empresa","Licenciatura en Recursos Humanos","2013 – 2018",7381
11423,"Universidad de Buenos Aires","Curso de Asistente de RRHH - Capacitarte UBA, Gestión de recursos humanos/Administración de personal, general","",7381
11424,"Universidad de Buenos Aires","Curso de Programación Neurolingüística , Desarrollo de recursos humanos","",7381
11425,"Eccleston School","Bilingual School, Idiomas - Ingles y Francés","2008 – 2012",7381
11453,"Universidad Distrital Francisco José de Caldas","Ingeniería Telemática, Computer Science","2015 – 2017",7394
11454,"Universidad Distrital Francisco José de Caldas","Tecnologo en Sistematización de datos, Computer Science","2011 – 2014",7394
11455,"Colegio salesiano de león XIII","Bachiller","2000 – 2009",7394
11456,"Universidad Distrital Francisco José de Caldas",NULL,"",7395
11457,"Corporación Unificada Nacional CUN","Bachelor's degree, Computer Engineering","2015 – 2017",7396
11458,"Free Code Camp","Full Stack Web Development Certification, Computer Software Engineering","2016 – 2017",7396
11470,"Universidad Caece Mar del Plata","Degree, Public Relations","2013 – 2020",7404
12131,"Instituto Cristoforo Colombo",NULL,"1994 – 1998",7670
12132,"Universidad de San Andrés","Master of Business Administration - MBA","2016 – 2018",7671
12133,"Universidad Nacional de Cuyo","Ingeniería Industrial","",7671
12162,"University of California, Berkeley","BA, Mathematics","2004 – 2007",7682
12163,"Beijing Normal University","CC, Intensive Chinese Language","2006 – 2006",7682
12164,"Pontifícia Universidade Católica do Rio Grande do Sul","Bachelor of Computer Science, Computer Science","2003 – 2007",7683
12180,"Universidad de Buenos Aires","Profesorado en Ciencias Sociales","2020 – 2022",7692
